LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,PAY_AMT_SEP,PAY_AMT_AUG,PAY_AMT_JUL,PAY_AMT_JUN,PAY_AMT_MAY,PAY_AMT_APR,default payment next month,BILL_AMT
20000,2,2,1,24,2,2,-1,-1,-2,-2,0,689,0,0,0,0,1,1284.0
120000,2,2,2,26,-1,2,0,0,0,2,0,1000,1000,1000,0,2000,1,2846.1666666666665
90000,2,2,2,34,0,0,0,0,0,0,1518,1500,1000,1000,1000,5000,0,16942.166666666668
50000,2,2,1,37,0,0,0,0,0,0,2000,2019,1200,1100,1069,1000,0,38555.666666666664
50000,1,2,1,57,-1,0,-1,0,0,0,2000,36681,10000,9000,689,679,0,18223.166666666668
50000,1,1,2,37,0,0,0,0,0,0,2500,1815,657,1000,1000,800,0,39685.666666666664
500000,1,1,2,29,0,0,0,0,0,0,55000,40000,38000,20239,13750,13770,0,454099.1666666667
100000,2,2,2,23,0,-1,-1,0,0,-1,380,601,0,581,1687,1542,0,2247.6666666666665
140000,2,3,1,28,0,0,2,0,0,0,3329,0,432,1000,1000,1000,0,10868.666666666666
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,13007,1122,0,0,4486.5
200000,2,3,2,34,0,0,2,0,0,-1,2306,12,50,300,3738,66,0,5744.5
260000,2,1,2,51,-1,-1,-1,-1,-1,2,21818,9966,8583,22301,0,3640,0,14728.166666666666
630000,2,2,2,41,-1,0,-1,-1,-1,-1,1000,6500,6500,6500,2870,0,0,6834.5
70000,1,2,2,30,1,2,2,0,0,2,3200,0,3000,3000,1500,0,1,56447.5
250000,1,1,2,29,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,0,62265.166666666664
50000,2,3,3,23,1,2,0,0,0,0,0,1500,1100,1200,1300,1100,0,32736.0
20000,1,1,2,24,0,0,2,2,2,2,3200,0,1500,0,1650,0,1,17693.5
320000,1,1,1,49,0,0,0,-1,-1,-1,10358,10000,75940,20000,195599,50000,0,161002.33333333334
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0.0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0.0
130000,2,3,2,39,0,0,0,0,0,-1,3000,1537,1000,2000,930,33764,0,20647.166666666668
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,0,632,316,0,1,316.0
70000,2,2,2,26,2,0,0,2,2,2,2007,3582,0,3601,0,1820,1,44245.833333333336
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,19428,1473,560,0,0,1128,1,4494.166666666667
90000,1,1,2,23,0,0,0,-1,0,0,5757,0,5398,1200,2045,2000,0,5310.666666666667
50000,1,3,2,23,0,0,0,0,0,0,1973,1426,1001,1432,1062,997,0,35715.833333333336
60000,1,1,2,27,1,-2,-1,-1,-1,-1,0,1000,0,500,0,1000,1,-65.66666666666667
50000,2,3,2,30,0,0,0,0,0,0,1300,1300,1000,1500,1000,1012,0,18711.333333333332
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,3415,3421,2044,30430,257,0,0,6701.333333333333
50000,1,1,2,26,0,0,0,0,0,0,1500,1500,1000,1000,1600,0,0,16180.333333333334
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,17270,13281,15339,14307,37292,0,0,18957.666666666668
