Appliances,Press_mm_hg,RH_3,RH_8,RH_9,T3,T4,T8,T_out,Tdewpoint,hour
60.0,735.9333333333329,44.73,48.9,45.53,19.79,19.0,18.2,6.6,5.3,17
60.0,735.9333333333329,44.79,48.863333333333294,45.56,19.79,19.0,18.2,6.48333333333333,5.2,17
50.0,735.9333333333329,44.933333333333294,48.73,45.5,19.79,18.9266666666667,18.2,6.36666666666667,5.1,17
50.0,735.9333333333329,45.0,48.59,45.4,19.79,18.89,18.1,6.25,5.0,17
60.0,735.9333333333329,45.0,48.59,45.4,19.79,18.89,18.1,6.133333333333329,4.9,17
50.0,735.9333333333329,44.933333333333294,48.59,45.29,19.79,18.89,18.1,6.01666666666667,4.8,17
60.0,735.9333333333329,44.9,48.59,45.29,19.79,18.89,18.1,5.9,4.7,18
60.0,735.9333333333329,44.9,48.59,45.29,19.73,18.89,18.1,5.91666666666667,4.68333333333333,18
60.0,735.9333333333329,44.79,48.59,45.29,19.73,18.89,18.1,5.93333333333333,4.66666666666667,18
70.0,735.9333333333329,44.863333333333294,48.59,45.29,19.79,18.89,18.1,5.95,4.65,18
175.0,735.9333333333329,44.9,48.59,45.29,19.79,18.89,18.1,5.96666666666667,4.633333333333329,18
175.0,735.9333333333329,44.8266666666667,48.6333333333333,45.29,19.79,19.0,18.066666666666695,5.98333333333333,4.61666666666667,18
175.0,735.9333333333329,44.9,48.56,45.29,19.89,19.0,18.066666666666695,6.0,4.6,19
175.0,735.9333333333329,45.4933333333333,48.66666666666671,45.3266666666667,19.89,19.0,18.033333333333296,6.0,4.51666666666667,19
100.0,735.9333333333329,47.5266666666667,49.19333333333329,45.345,20.033333333333296,19.0,18.1,6.0,4.43333333333333,19
100.0,735.9333333333329,48.4666666666667,49.2,45.3266666666667,20.1,19.0,18.15,6.0,4.35,19
90.0,735.9333333333329,48.53,49.6333333333333,45.29,20.2,18.9266666666667,18.23,6.0,4.26666666666667,19
70.0,735.9333333333329,48.4475,50.0266666666667,45.29,20.2,18.89,18.3566666666667,6.0,4.18333333333333,19
